2020-05-25 14:27:48.396 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.gusangyuan.expense.ExpenseApplicationTests], using SpringBootContextLoader 
2020-05-25 14:27:48.406 INFO   o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.gusangyuan.expense.ExpenseApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2020-05-25 14:27:48.407 INFO   o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.gusangyuan.expense.ExpenseApplicationTests]: ExpenseApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2020-05-25 14:27:48.694 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.gusangyuan.expense.ExpenseApplication for test class com.gusangyuan.expense.ExpenseApplicationTests 
2020-05-25 14:27:48.793 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2020-05-25 14:27:48.825 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@609cd4d8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@17f7cd29, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7d8704ef, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@13b6aecc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@158a8276, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3c3d9b6b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@79d8407f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5fbe4146, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1e66f1f5, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4e50c791] 
2020-05-25 14:27:49.330 INFO   c.g.expense.ExpenseApplicationTests - Starting ExpenseApplicationTests on XTZ-01905221424 with PID 8992 (started by Administrator in E:\expense) 
2020-05-25 14:27:49.332 INFO   c.g.expense.ExpenseApplicationTests - No active profile set, falling back to default profiles: default 
2020-05-25 14:27:50.682 INFO   o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2020-05-25 14:27:50.917 INFO   o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index 
2020-05-25 14:27:51.063 INFO   c.g.expense.ExpenseApplicationTests - Started ExpenseApplicationTests in 2.155 seconds (JVM running for 3.483) 
2020-05-25 14:27:51.464 INFO   o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor' 
2020-05-25 14:29:19.601 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.gusangyuan.expense.ExpenseApplicationTests], using SpringBootContextLoader 
2020-05-25 14:29:19.607 INFO   o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.gusangyuan.expense.ExpenseApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2020-05-25 14:29:19.608 INFO   o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.gusangyuan.expense.ExpenseApplicationTests]: ExpenseApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2020-05-25 14:29:19.694 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.gusangyuan.expense.ExpenseApplication for test class com.gusangyuan.expense.ExpenseApplicationTests 
2020-05-25 14:29:19.784 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2020-05-25 14:29:19.794 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6913c1fb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@66d18979, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@bccb269, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@609cd4d8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@17f7cd29, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7d8704ef, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@13b6aecc, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@158a8276, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3c3d9b6b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@79d8407f] 
2020-05-25 14:29:20.009 INFO   c.g.expense.ExpenseApplicationTests - Starting ExpenseApplicationTests on XTZ-01905221424 with PID 8148 (started by Administrator in E:\expense) 
2020-05-25 14:29:20.010 INFO   c.g.expense.ExpenseApplicationTests - No active profile set, falling back to default profiles: default 
2020-05-25 14:29:21.187 INFO   o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2020-05-25 14:29:21.392 INFO   o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index 
2020-05-25 14:29:21.521 INFO   c.g.expense.ExpenseApplicationTests - Started ExpenseApplicationTests in 1.686 seconds (JVM running for 2.468) 
2020-05-25 14:29:21.753 INFO   o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor' 
2020-05-25 14:30:17.400 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.gusangyuan.expense.ExpenseApplicationTests], using SpringBootContextLoader 
2020-05-25 14:30:17.406 INFO   o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.gusangyuan.expense.ExpenseApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2020-05-25 14:30:17.406 INFO   o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.gusangyuan.expense.ExpenseApplicationTests]: ExpenseApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2020-05-25 14:30:17.494 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.gusangyuan.expense.ExpenseApplication for test class com.gusangyuan.expense.ExpenseApplicationTests 
